Retailer,Retailer ID,Invoice Date,Region,State,City,Product,Price per Unit,Units Sold,Total Sales,Operating Profit,Operating Margin,Sales Method
Foot Locker,1185732,04/06/2022,Southeast,South Carolina,Charleston,Women's Athletic Footwear,41,256,"10,496","3,988",38%,Online
Amazon,1185732,04/06/2022,Northeast,Vermont,Burlington,Women's Street Footwear,40,40,"1,600",704,44%,In-store
Foot Locker,1185732,04/06/2022,West,Arizona,Phoenix,Women's Athletic Footwear,51,133,"6,783","3,663",54%,Online
Foot Locker,1185732,04/06/2022,Northeast,Rhode Island,Providence,Men's Apparel,30,133,"3,990","1,636",41%,Outlet
West Gear,1128299,04/06/2022,Southeast,Florida,Orlando,Men's Athletic Footwear,51,211,"10,761","2,798",26%,In-store
Sports Direct,1197831,04/06/2022,Southeast,South Carolina,Charleston,Women's Apparel,51,400,"20,400","8,976",44%,Outlet
Amazon,1185732,04/06/2022,West,Alaska,Anchorage,Men's Apparel,49,82,"4,018","1,567",39%,Online
West Gear,1128299,04/06/2022,South,Louisiana,New Orleans,Women's Athletic Footwear,44,400,"17,600","6,864",39%,Online
West Gear,1128299,04/06/2022,West,Utah,Salt Lake City,Women's Street Footwear,39,245,"9,555","3,344",35%,Outlet
Sports Direct,1197831,04/06/2022,South,Texas,Dallas,Women's Apparel,70,133,"9,310","2,328",25%,Online
West Gear,1128299,04/06/2022,West,Colorado,Denver,Men's Apparel,62,44,"2,728","1,664",61%,Online
Foot Locker,1185732,04/06/2022,West,Arizona,Phoenix,Women's Street Footwear,21,120,"2,520",907,36%,Outlet
Sports Direct,1197831,04/06/2022,Midwest,Michigan,Detroit,Men's Apparel,70,400,"28,000","12,600",45%,Online
West Gear,1128299,04/06/2022,South,Louisiana,New Orleans,Women's Street Footwear,75,1,75,35,47%,Outlet
Foot Locker,1185732,04/06/2022,West,Arizona,Phoenix,Men's Athletic Footwear,42,142,"5,964","3,101",52%,Online
Sports Direct,1197831,04/06/2022,Midwest,Michigan,Detroit,Women's Apparel,67,1,67,36,53%,Online
Amazon,1185732,04/06/2022,Southeast,Kentucky,Louisville,Women's Athletic Footwear,25,118,"2,950","1,003",34%,Online
Sports Direct,1197831,04/06/2022,West,Idaho,Boise,Women's Street Footwear,24,133,"3,192",926,29%,In-store
West Gear,1128299,04/06/2022,West,Colorado,Denver,Men's Apparel,65,101,"6,565","3,282",50%,In-store
West Gear,1128299,04/06/2022,West,California,San Francisco,Women's Athletic Footwear,29,1,29,11,37%,Online
Sports Direct,1197831,04/07/2022,Southeast,Georgia,Atlanta,Men's Street Footwear,54,35,"1,890",888,47%,Online
West Gear,1128299,04/07/2022,Midwest,Wisconsin,Milwaukee,Women's Athletic Footwear,42,60,"2,520",680,27%,Outlet
West Gear,1128299,04/07/2022,Midwest,Indiana,Indianapolis,Men's Street Footwear,55,115,"6,325","1,961",31%,Outlet
Foot Locker,1185732,04/07/2022,Northeast,Delaware,Wilmington,Men's Athletic Footwear,11,133,"1,463",512,35%,In-store
Sports Direct,1197831,04/07/2022,Northeast,Connecticut,Hartford,Women's Street Footwear,27,133,"3,591","1,760",49%,Outlet
Kohl's,1189833,04/07/2022,West,New Mexico,Albuquerque,Men's Apparel,31,258,"7,998","2,799",35%,Online
Amazon,1185732,04/07/2022,Northeast,Vermont,Burlington,Men's Street Footwear,35,204,"7,140","2,356",33%,Online
West Gear,1128299,04/07/2022,Northeast,New York,Albany,Men's Street Footwear,64,94,"6,016","2,948",49%,Online
Sports Direct,1197831,04/07/2022,South,Alabama,Birmingham,Men's Street Footwear,68,256,"17,408","5,222",30%,Online
West Gear,1128299,04/07/2022,South,Louisiana,New Orleans,Men's Street Footwear,12,11,132,67,51%,Outlet
Amazon,1185732,04/07/2022,Northeast,Massachusetts,Boston,Women's Athletic Footwear,36,133,"4,788","2,442",51%,Outlet
Foot Locker,1185732,04/07/2022,Midwest,South Dakota,Sioux Falls,Women's Apparel,56,202,"11,312","5,317",47%,Outlet
West Gear,1128299,04/07/2022,West,Colorado,Denver,Women's Apparel,72,98,"7,056","1,764",25%,Online
West Gear,1128299,04/07/2022,West,California,San Francisco,Men's Athletic Footwear,38,133,"5,054","2,123",42%,In-store
Sports Direct,1197831,04/07/2022,Southeast,Georgia,Atlanta,Men's Apparel,50,266,"13,300","5,187",39%,Outlet
Kohl's,1189833,04/07/2022,West,New Mexico,Albuquerque,Men's Street Footwear,59,122,"7,198","3,599",50%,Online
Walmart,1185732,04/07/2022,Southeast,Florida,Orlando,Men's Apparel,47,160,"7,520","2,933",39%,In-store
West Gear,1128299,04/07/2022,West,Colorado,Denver,Women's Apparel,80,197,"15,760","2,364",15%,In-store
Kohl's,1189833,04/07/2022,West,California,Los Angeles,Women's Street Footwear,36,75,"2,700",999,37%,Online
West Gear,1128299,04/07/2022,West,California,San Francisco,Women's Athletic Footwear,55,213,"11,715","5,272",45%,Outlet
Sports Direct,1197831,04/07/2022,South,Tennessee,Knoxville,Men's Apparel,34,137,"4,658",978,21%,Online
Amazon,1185732,04/07/2022,Northeast,New Hampshire,Manchester,Women's Apparel,64,133,"8,512","3,405",40%,Outlet
Sports Direct,1197831,04/08/2022,Midwest,North Dakota,Fargo,Men's Street Footwear,42,362,"15,204","8,362",55%,Online
West Gear,1128299,04/08/2022,West,Idaho,Boise,Men's Athletic Footwear,37,110,"4,070","1,221",30%,Online
West Gear,1128299,04/08/2022,Northeast,West Virginia,Charleston,Women's Apparel,44,133,"5,852","2,458",42%,In-store
West Gear,1128299,04/08/2022,Midwest,Indiana,Indianapolis,Men's Athletic Footwear,51,256,"13,056","6,006",46%,Outlet
West Gear,1128299,04/08/2022,West,Colorado,Denver,Men's Street Footwear,60,198,"11,880","5,940",50%,In-store
West Gear,1128299,04/08/2022,West,Colorado,Denver,Men's Street Footwear,55,131,"7,205","4,395",61%,Online
Sports Direct,1197831,04/08/2022,Northeast,Connecticut,Hartford,Men's Street Footwear,40,29,"1,160",626,54%,Online
Kohl's,1189833,04/08/2022,Northeast,New Jersey,Newark,Women's Apparel,46,264,"12,144","4,615",38%,In-store
West Gear,1128299,04/08/2022,Midwest,Wisconsin,Milwaukee,Men's Athletic Footwear,32,40,"1,280",384,30%,In-store
Kohl's,1189833,04/08/2022,Midwest,Kansas,Wichita,Women's Apparel,32,1,32,21,65%,Online
Foot Locker,1185732,04/08/2022,Northeast,Rhode Island,Providence,Men's Street Footwear,49,217,"10,633","4,998",47%,Online
West Gear,1128299,04/08/2022,West,Oregon,Portland,Women's Street Footwear,52,237,"12,324","3,081",25%,Online
West Gear,1128299,04/08/2022,Midwest,Iowa,Des Moines,Men's Athletic Footwear,43,143,"6,149","2,706",44%,In-store
Foot Locker,1185732,04/08/2022,Northeast,Pennsylvania,Philadelphia,Women's Apparel,44,114,"5,016","1,254",25%,Outlet
Sports Direct,1197831,04/09/2022,Southeast,Georgia,Atlanta,Men's Athletic Footwear,27,285,"7,695","4,001",52%,In-store
Sports Direct,1197831,04/09/2022,Midwest,North Dakota,Fargo,Women's Apparel,66,204,"13,464","3,366",25%,In-store
Sports Direct,1197831,04/09/2022,Southeast,Georgia,Atlanta,Men's Street Footwear,44,77,"3,388","1,321",39%,Outlet
West Gear,1128299,04/09/2022,Midwest,Wisconsin,Milwaukee,Men's Street Footwear,30,206,"6,180","3,152",51%,Outlet
Foot Locker,1185732,04/09/2022,Midwest,Kansas,Wichita,Women's Street Footwear,32,23,736,405,55%,Online
West Gear,1128299,04/09/2022,West,Colorado,Denver,Men's Athletic Footwear,65,86,"5,590","1,956",35%,In-store
Sports Direct,1197831,04/09/2022,South,Tennessee,Knoxville,Men's Apparel,51,133,"6,783","3,324",49%,Online
West Gear,1128299,04/09/2022,West,Colorado,Denver,Men's Athletic Footwear,60,105,"6,300","2,898",46%,Online
Foot Locker,1185732,04/09/2022,Southeast,Virginia,Richmond,Men's Athletic Footwear,67,41,"2,747","1,016",37%,Online
Amazon,1185732,04/09/2022,Northeast,Vermont,Burlington,Men's Apparel,56,1,56,16,28%,In-store
Amazon,1185732,04/09/2022,Northeast,Vermont,Burlington,Women's Apparel,47,266,"12,502","4,626",37%,In-store
Foot Locker,1185732,04/09/2022,Northeast,West Virginia,Charleston,Women's Street Footwear,23,29,667,260,39%,In-store
Sports Direct,1197831,04/09/2022,Southeast,South Carolina,Charleston,Women's Street Footwear,39,252,"9,828","5,995",61%,Online
Amazon,1185732,04/09/2022,Southeast,Kentucky,Louisville,Men's Apparel,42,36,"1,512",620,41%,Online
Kohl's,1189833,04/09/2022,West,Wyoming,Cheyenne,Women's Street Footwear,45,87,"3,915","1,801",46%,In-store
Walmart,1185732,04/09/2022,South,Arkansas,Little Rock,Men's Athletic Footwear,29,31,899,333,37%,Online
Amazon,1185732,04/09/2022,Northeast,Maine,Portland,Women's Athletic Footwear,54,133,"7,182","2,011",28%,In-store
Sports Direct,1197831,04/09/2022,Northeast,Connecticut,Hartford,Men's Apparel,41,400,"16,400","7,872",48%,Outlet
Kohl's,1189833,04/10/2022,South,Oklahoma,Oklahoma City,Women's Street Footwear,71,219,"15,549","7,619",49%,Outlet
Foot Locker,1185732,04/10/2022,Midwest,Missouri,St. Louis,Men's Street Footwear,42,138,"5,796","2,492",43%,In-store
Kohl's,1189833,04/10/2022,Northeast,New Jersey,Newark,Men's Street Footwear,61,184,"11,224","4,602",41%,Online
Foot Locker,1185732,04/10/2022,Northeast,Pennsylvania,Philadelphia,Men's Apparel,16,128,"2,048",451,22%,Online
Sports Direct,1197831,04/10/2022,Midwest,Michigan,Detroit,Men's Athletic Footwear,38,30,"1,140",422,37%,Online
West Gear,1128299,04/10/2022,Northeast,West Virginia,Charleston,Men's Street Footwear,23,48,"1,104",442,40%,Online
Sports Direct,1197831,04/10/2022,South,Alabama,Birmingham,Men's Athletic Footwear,49,216,"10,584","4,022",38%,Online
Foot Locker,1185732,04/10/2022,South,Texas,Dallas,Men's Athletic Footwear,44,133,"5,852","2,341",40%,Online
Sports Direct,1197831,04/10/2022,West,Hawaii,Honolulu,Men's Street Footwear,73,210,"15,330","5,979",39%,Online
Sports Direct,1197831,04/10/2022,South,Alabama,Birmingham,Men's Street Footwear,35,1,35,23,65%,Online
West Gear,1128299,04/10/2022,West,Colorado,Denver,Women's Street Footwear,59,98,"5,782","3,469",60%,Online
West Gear,1128299,04/10/2022,South,Oklahoma,Oklahoma City,Men's Athletic Footwear,44,241,"10,604","4,560",43%,Outlet
Foot Locker,1185732,04/10/2022,Midwest,Missouri,St. Louis,Men's Apparel,58,133,"7,714","2,854",37%,In-store
Foot Locker,1185732,04/10/2022,Midwest,Iowa,Des Moines,Men's Street Footwear,41,92,"3,772","1,735",46%,Outlet
Foot Locker,1185732,04/10/2022,Northeast,Delaware,Wilmington,Men's Athletic Footwear,42,133,"5,586","2,793",50%,Online
West Gear,1128299,04/10/2022,South,Louisiana,New Orleans,Women's Apparel,52,340,"17,680","6,365",36%,In-store
West Gear,1128299,04/10/2022,West,Utah,Salt Lake City,Women's Street Footwear,60,91,"5,460","2,075",38%,Outlet
West Gear,1128299,04/10/2022,Northeast,New York,Albany,Men's Apparel,63,400,"25,200","11,592",46%,In-store
West Gear,1128299,04/10/2022,Midwest,Indiana,Indianapolis,Men's Street Footwear,19,141,"2,679","1,232",46%,Online
West Gear,1128299,04/10/2022,West,Colorado,Denver,Women's Street Footwear,65,199,"12,935","6,468",50%,In-store
Foot Locker,1185732,04/10/2022,Midwest,South Dakota,Sioux Falls,Men's Street Footwear,28,57,"1,596",622,39%,Outlet
West Gear,1128299,04/10/2022,West,Utah,Salt Lake City,Men's Apparel,35,219,"7,665","3,296",43%,Online
West Gear,1128299,04/10/2022,Northeast,New York,Albany,Men's Athletic Footwear,56,133,"7,448","2,905",39%,Online
Sports Direct,1197831,04/10/2022,Northeast,Rhode Island,Providence,Men's Street Footwear,46,133,"6,118","3,487",57%,Online
Kohl's,1189833,04/10/2022,West,California,Los Angeles,Men's Athletic Footwear,24,78,"1,872",955,51%,Outlet
Sports Direct,1197831,04/10/2022,South,Alabama,Birmingham,Women's Apparel,69,258,"17,802","4,094",23%,Online
Foot Locker,1185732,04/10/2022,Northeast,Rhode Island,Providence,Men's Athletic Footwear,53,212,"11,236","3,933",35%,Online
Foot Locker,1185732,04/11/2022,West,Wyoming,Cheyenne,Women's Apparel,27,184,"4,968","2,683",54%,Outlet
West Gear,1128299,04/11/2022,West,Colorado,Denver,Women's Athletic Footwear,60,71,"4,260","1,917",45%,In-store
Foot Locker,1185732,04/11/2022,Midwest,Illinois,Chicago,Women's Apparel,75,133,"9,975","4,988",50%,Online
Foot Locker,1185732,04/11/2022,Midwest,Iowa,Des Moines,Men's Athletic Footwear,63,119,"7,497","3,074",41%,Online
Foot Locker,1185732,04/11/2022,Midwest,Kansas,Wichita,Men's Athletic Footwear,33,166,"5,478","2,903",53%,In-store
Foot Locker,1185732,04/11/2022,Midwest,Missouri,St. Louis,Men's Athletic Footwear,58,1,58,21,37%,In-store
West Gear,1128299,04/11/2022,Midwest,Iowa,Des Moines,Men's Apparel,31,87,"2,697","1,564",58%,Outlet
West Gear,1128299,04/11/2022,West,Colorado,Denver,Women's Athletic Footwear,58,69,"4,002","2,361",59%,Online
West Gear,1128299,04/11/2022,Midwest,Indiana,Indianapolis,Men's Apparel,27,225,"6,075","2,673",44%,Online
Foot Locker,1185732,04/11/2022,Midwest,Kansas,Wichita,Men's Street Footwear,30,21,630,233,37%,Outlet
Sports Direct,1197831,04/11/2022,Northeast,Connecticut,Hartford,Women's Apparel,57,257,"14,649","6,739",46%,Online
Walmart,1185732,04/11/2022,Southeast,Florida,Orlando,Men's Athletic Footwear,26,80,"2,080","1,144",55%,In-store
Sports Direct,1197831,04/11/2022,Northeast,New Jersey,Newark,Men's Athletic Footwear,32,133,"4,256","1,702",40%,Outlet
Foot Locker,1185732,04/11/2022,Midwest,Illinois,Chicago,Women's Athletic Footwear,29,168,"4,872","1,559",32%,Online
Kohl's,1189833,04/11/2022,West,California,Los Angeles,Women's Apparel,47,32,"1,504",812,54%,Outlet
Sports Direct,1197831,04/11/2022,South,Tennessee,Knoxville,Men's Apparel,46,133,"6,118","1,958",32%,Outlet
Foot Locker,1185732,04/11/2022,Northeast,Pennsylvania,Philadelphia,Women's Street Footwear,28,183,"5,124","1,691",33%,Online
Sports Direct,1197831,04/11/2022,Northeast,Connecticut,Hartford,Women's Apparel,50,133,"6,650","4,456",67%,Outlet
Kohl's,1189833,04/11/2022,West,California,Los Angeles,Men's Street Footwear,55,181,"9,955","4,679",47%,Online
Amazon,1185732,04/11/2022,West,Alaska,Anchorage,Women's Athletic Footwear,20,133,"2,660","1,357",51%,Outlet
West Gear,1128299,04/12/2022,Midwest,Wisconsin,Milwaukee,Women's Apparel,68,266,"18,088","8,501",47%,Outlet
West Gear,1128299,04/12/2022,West,California,San Francisco,Men's Street Footwear,42,244,"10,248","4,509",44%,Outlet
Foot Locker,1185732,04/12/2022,Southeast,Kentucky,Louisville,Men's Street Footwear,24,133,"3,192","1,404",44%,In-store
Foot Locker,1185732,04/12/2022,Midwest,Iowa,Des Moines,Women's Street Footwear,21,264,"5,544","2,439",44%,Online
Sports Direct,1197831,04/12/2022,Midwest,Nebraska,Omaha,Men's Athletic Footwear,40,254,"10,160","3,353",33%,In-store
West Gear,1128299,04/12/2022,West,Colorado,Denver,Men's Apparel,65,158,"10,270","6,676",65%,In-store
Foot Locker,1185732,04/12/2022,Northeast,West Virginia,Charleston,Men's Apparel,61,133,"8,113","2,758",34%,Online
Amazon,1185732,04/12/2022,West,Alaska,Anchorage,Women's Street Footwear,22,25,550,148,27%,Outlet
Foot Locker,1185732,04/12/2022,South,Tennessee,Knoxville,Women's Street Footwear,36,133,"4,788","2,442",51%,In-store
West Gear,1128299,04/12/2022,West,Colorado,Denver,Men's Apparel,63,44,"2,772","2,107",76%,Online
Foot Locker,1185732,04/12/2022,West,Hawaii,Honolulu,Men's Athletic Footwear,40,133,"5,320","2,500",47%,Online
Amazon,1185732,04/12/2022,Southeast,Kentucky,Louisville,Men's Athletic Footwear,26,261,"6,786","2,579",38%,Outlet
Foot Locker,1185732,04/12/2022,South,Mississippi,Jackson,Men's Apparel,73,400,"29,200","12,264",42%,Online
Foot Locker,1185732,04/12/2022,West,Arizona,Phoenix,Women's Athletic Footwear,56,133,"7,448","4,394",59%,Online
West Gear,1128299,04/12/2022,Midwest,Missouri,St. Louis,Women's Athletic Footwear,52,17,884,354,40%,Outlet
Foot Locker,1185732,04/12/2022,Southeast,Kentucky,Louisville,Men's Athletic Footwear,34,98,"3,332","1,366",41%,Outlet
Amazon,1185732,04/12/2022,Northeast,New Hampshire,Manchester,Women's Athletic Footwear,50,133,"6,650","3,790",57%,Online
West Gear,1128299,04/12/2022,Midwest,Wisconsin,Milwaukee,Women's Athletic Footwear,27,133,"3,591","1,652",46%,In-store
Foot Locker,1185732,04/12/2022,Midwest,Nebraska,Omaha,Men's Street Footwear,65,207,"13,455","5,920",44%,Outlet
West Gear,1128299,04/12/2022,West,California,San Francisco,Women's Athletic Footwear,40,179,"7,160","3,652",51%,Online
Sports Direct,1197831,04/13/2022,Midwest,Michigan,Detroit,Men's Athletic Footwear,57,286,"16,302","5,706",35%,In-store
Foot Locker,1185732,04/13/2022,Southeast,South Carolina,Charleston,Men's Athletic Footwear,15,138,"2,070",911,44%,Online
West Gear,1128299,04/13/2022,West,Colorado,Denver,Women's Apparel,80,1,80,24,30%,In-store
West Gear,1128299,04/13/2022,West,Colorado,Denver,Women's Apparel,74,133,"9,842","4,232",43%,Online
Sports Direct,1197831,04/13/2022,Southeast,North Carolina,Charlotte,Women's Athletic Footwear,18,113,"2,034",692,34%,Online
Sports Direct,1197831,04/13/2022,Northeast,Connecticut,Hartford,Men's Street Footwear,39,266,"10,374","4,668",45%,Online
Sports Direct,1197831,04/13/2022,Northeast,Massachusetts,Boston,Men's Athletic Footwear,44,133,"5,852","2,341",40%,Outlet
West Gear,1128299,04/13/2022,Southeast,Florida,Orlando,Women's Apparel,61,154,"9,394","4,603",49%,Online
West Gear,1128299,04/13/2022,West,Oregon,Portland,Men's Apparel,36,400,"14,400","6,768",47%,Online
Sports Direct,1197831,04/13/2022,Northeast,Connecticut,Hartford,Men's Apparel,55,106,"5,830","1,399",24%,Online
West Gear,1128299,04/13/2022,West,Utah,Salt Lake City,Women's Street Footwear,34,269,"9,146","3,384",37%,Online
Sports Direct,1197831,04/13/2022,Southeast,Florida,Orlando,Women's Apparel,33,115,"3,795","1,670",44%,Online
Kohl's,1189833,04/13/2022,West,Wyoming,Cheyenne,Women's Apparel,51,5,255,156,61%,Outlet
Foot Locker,1185732,04/13/2022,Midwest,Iowa,Des Moines,Women's Athletic Footwear,53,182,"9,646","5,305",55%,Online
Sports Direct,1197831,04/13/2022,Northeast,Massachusetts,Boston,Women's Apparel,44,32,"1,408",634,45%,In-store
Sports Direct,1197831,04/13/2022,Northeast,Maryland,Baltimore,Men's Athletic Footwear,29,133,"3,857","1,581",41%,Outlet
West Gear,1128299,04/13/2022,Northeast,Maryland,Baltimore,Women's Athletic Footwear,33,296,"9,768","4,298",44%,Online
Foot Locker,1185732,04/13/2022,Southeast,South Carolina,Charleston,Men's Athletic Footwear,27,163,"4,401","1,980",45%,Online
West Gear,1128299,04/13/2022,Midwest,Missouri,St. Louis,Men's Athletic Footwear,38,8,304,109,36%,Outlet
Sports Direct,1197831,04/13/2022,Northeast,Connecticut,Hartford,Women's Apparel,52,238,"12,376","7,054",57%,Online
West Gear,1128299,04/13/2022,Northeast,Vermont,Burlington,Men's Apparel,59,358,"21,122","6,337",30%,Online
Amazon,1185732,04/13/2022,West,Alaska,Anchorage,Men's Street Footwear,53,1,53,20,38%,Outlet
Foot Locker,1185732,04/13/2022,Southeast,South Carolina,Charleston,Men's Athletic Footwear,45,222,"9,990","4,396",44%,Online
West Gear,1128299,04/13/2022,South,Oklahoma,Oklahoma City,Women's Apparel,62,183,"11,346","2,496",22%,Online
West Gear,1128299,04/13/2022,South,Louisiana,New Orleans,Men's Apparel,27,155,"4,185","1,130",27%,Online
Amazon,1185732,04/13/2022,Midwest,Ohio,Columbus,Women's Street Footwear,10,170,"1,700",799,47%,In-store
West Gear,1128299,04/13/2022,Midwest,Wisconsin,Milwaukee,Women's Apparel,44,184,"8,096","6,396",79%,Online
Kohl's,1189833,04/13/2022,Midwest,Montana,Billings,Men's Street Footwear,48,74,"3,552","1,563",44%,Outlet
Foot Locker,1185732,04/13/2022,Northeast,West Virginia,Charleston,Women's Street Footwear,55,269,"14,795","5,770",39%,Online
Foot Locker,1185732,04/14/2022,Northeast,Connecticut,Hartford,Women's Apparel,65,133,"8,645","3,544",41%,Online
West Gear,1128299,04/14/2022,West,Colorado,Denver,Men's Street Footwear,54,189,"10,206","6,532",64%,Online
Foot Locker,1185732,04/14/2022,Midwest,Iowa,Des Moines,Women's Athletic Footwear,46,133,"6,118","3,243",53%,Online
West Gear,1128299,04/14/2022,Northeast,West Virginia,Charleston,Men's Athletic Footwear,62,13,806,330,41%,Online
West Gear,1128299,04/14/2022,West,Colorado,Denver,Men's Street Footwear,60,320,"19,200","9,600",50%,In-store
Amazon,1185732,04/14/2022,Northeast,Maine,Portland,Men's Athletic Footwear,44,280,"12,320","5,298",43%,Online
Walmart,1185732,04/14/2022,Southeast,Florida,Orlando,Women's Athletic Footwear,29,28,812,398,49%,In-store
Foot Locker,1185732,04/14/2022,South,Louisiana,New Orleans,Men's Street Footwear,40,133,"5,320","1,756",33%,Outlet
Foot Locker,1185732,04/14/2022,West,Hawaii,Honolulu,Men's Apparel,55,400,"22,000","10,120",46%,Outlet
Foot Locker,1185732,04/14/2022,Midwest,Iowa,Des Moines,Women's Street Footwear,78,138,"10,764","5,490",51%,Outlet
Foot Locker,1185732,04/14/2022,Midwest,Michigan,Detroit,Women's Athletic Footwear,40,270,"10,800","4,752",44%,In-store
Sports Direct,1197831,04/14/2022,South,Alabama,Birmingham,Women's Athletic Footwear,46,93,"4,278","1,711",40%,Outlet
Foot Locker,1185732,04/14/2022,Northeast,Rhode Island,Providence,Women's Athletic Footwear,44,133,"5,852","2,867",49%,Outlet
Foot Locker,1185732,04/14/2022,Southeast,Kentucky,Louisville,Men's Apparel,54,123,"6,642","3,055",46%,Online
Foot Locker,1185732,04/14/2022,Southeast,Virginia,Richmond,Women's Athletic Footwear,45,101,"4,545","2,727",60%,In-store
Foot Locker,1185732,04/14/2022,Midwest,Kansas,Wichita,Women's Street Footwear,39,247,"9,633","4,335",45%,Online
Sports Direct,1197831,04/14/2022,Midwest,North Dakota,Fargo,Women's Street Footwear,25,82,"2,050",984,48%,Online
Walmart,1185732,04/14/2022,South,Arkansas,Little Rock,Men's Apparel,31,133,"4,123","2,804",68%,Outlet
Amazon,1185732,04/14/2022,Northeast,Vermont,Burlington,Women's Apparel,24,137,"3,288","1,414",43%,Outlet
Kohl's,1189833,04/14/2022,West,California,Los Angeles,Women's Street Footwear,29,188,"5,452","2,399",44%,In-store
Sports Direct,1197831,04/14/2022,South,Texas,Dallas,Men's Athletic Footwear,46,119,"5,474","2,080",38%,Online
West Gear,1128299,04/14/2022,Midwest,Wisconsin,Milwaukee,Men's Athletic Footwear,24,133,"3,192","1,341",42%,In-store
Sports Direct,1197831,04/14/2022,West,Idaho,Boise,Women's Street Footwear,58,58,"3,364","1,648",49%,Outlet
Amazon,1185732,04/14/2022,West,Alaska,Anchorage,Men's Apparel,48,14,672,276,41%,Outlet
Kohl's,1189833,04/14/2022,West,New Mexico,Albuquerque,Men's Apparel,70,1,70,31,44%,Online
West Gear,1128299,04/15/2022,West,Utah,Salt Lake City,Men's Athletic Footwear,47,400,"18,800","9,588",51%,Online
Foot Locker,1185732,04/15/2022,Northeast,Connecticut,Hartford,Women's Athletic Footwear,47,29,"1,363",682,50%,Online
West Gear,1128299,04/15/2022,West,Colorado,Denver,Men's Athletic Footwear,65,1,65,23,35%,In-store
Sports Direct,1197831,04/15/2022,West,Idaho,Boise,Men's Athletic Footwear,34,133,"4,522","1,990",44%,Online
Amazon,1185732,04/15/2022,Southeast,North Carolina,Charlotte,Women's Apparel,22,71,"1,562",562,36%,Outlet
Sports Direct,1197831,04/15/2022,Southeast,Georgia,Atlanta,Women's Apparel,69,166,"11,454","4,123",36%,Outlet
West Gear,1128299,04/15/2022,West,Idaho,Boise,Men's Apparel,47,143,"6,721","1,949",29%,Outlet
West Gear,1128299,04/15/2022,West,California,San Francisco,Men's Athletic Footwear,36,62,"2,232","1,250",56%,In-store
Sports Direct,1197831,04/15/2022,South,Mississippi,Jackson,Women's Street Footwear,65,44,"2,860","1,030",36%,Online
Walmart,1185732,04/15/2022,South,Arkansas,Little Rock,Women's Street Footwear,59,133,"7,847","3,688",47%,Outlet
West Gear,1128299,04/15/2022,Southeast,Florida,Orlando,Women's Athletic Footwear,31,46,"1,426",627,44%,Online
Foot Locker,1185732,04/15/2022,Midwest,Nebraska,Omaha,Men's Athletic Footwear,49,133,"6,517","3,193",49%,Online
Walmart,1185732,04/15/2022,South,Arkansas,Little Rock,Women's Apparel,25,10,250,70,28%,Online
West Gear,1128299,04/15/2022,Midwest,Indiana,Indianapolis,Men's Athletic Footwear,38,400,"15,200","6,536",43%,Outlet
West Gear,1128299,04/15/2022,West,Colorado,Denver,Men's Athletic Footwear,59,144,"8,496","4,248",50%,Online
Sports Direct,1197831,04/15/2022,Northeast,Rhode Island,Providence,Women's Apparel,89,400,"35,600","9,968",28%,Online
Sports Direct,1197831,04/15/2022,Midwest,Michigan,Detroit,Men's Apparel,39,266,"10,374","3,942",38%,Online
Foot Locker,1185732,04/15/2022,Northeast,Pennsylvania,Philadelphia,Women's Apparel,75,24,"1,800",864,48%,Online
Foot Locker,1185732,04/15/2022,Northeast,Rhode Island,Providence,Women's Apparel,48,204,"9,792","4,308",44%,Online
West Gear,1128299,04/15/2022,West,Idaho,Boise,Women's Athletic Footwear,71,133,"9,443","3,116",33%,Online
Sports Direct,1197831,04/15/2022,Southeast,Georgia,Atlanta,Men's Athletic Footwear,40,8,320,96,30%,Online
Foot Locker,1185732,04/15/2022,South,Texas,Dallas,Men's Athletic Footwear,16,133,"2,128",894,42%,In-store
Sports Direct,1197831,04/15/2022,Northeast,Maryland,Baltimore,Women's Athletic Footwear,29,140,"4,060","1,949",48%,Online
Amazon,1185732,04/15/2022,Northeast,Massachusetts,Boston,Men's Street Footwear,35,81,"2,835","1,446",51%,In-store
Foot Locker,1185732,04/16/2022,Midwest,Illinois,Chicago,Women's Athletic Footwear,40,363,"14,520","8,131",56%,Online
West Gear,1128299,04/16/2022,West,Colorado,Denver,Women's Street Footwear,65,1,65,32,50%,In-store
West Gear,1128299,04/16/2022,West,Colorado,Denver,Women's Street Footwear,64,150,"9,600","6,144",64%,Online
Foot Locker,1185732,04/16/2022,Midwest,Kansas,Wichita,Men's Athletic Footwear,27,266,"7,182","2,586",36%,Online
Amazon,1185732,04/16/2022,Northeast,Vermont,Burlington,Women's Athletic Footwear,45,133,"5,985","1,855",31%,Outlet
Foot Locker,1185732,04/16/2022,West,Wyoming,Cheyenne,Women's Street Footwear,42,156,"6,552","2,293",35%,In-store
West Gear,1128299,04/16/2022,Northeast,Maryland,Baltimore,Women's Athletic Footwear,26,107,"2,782","1,586",57%,In-store
Sports Direct,1197831,04/16/2022,South,Texas,Dallas,Men's Apparel,35,67,"2,345","1,196",51%,Online
Foot Locker,1185732,04/16/2022,West,Arizona,Phoenix,Men's Street Footwear,33,133,"4,389","2,063",47%,Online
West Gear,1128299,04/16/2022,West,Utah,Salt Lake City,Men's Athletic Footwear,51,167,"8,517","2,896",34%,Online
